Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
10.58; 21; 68021; 99; 1056; 0

10.10; 20; 67830; 81; 933; 0

9.16; 20; 67658; 74; 891; 0

8.33; 21; 67501; 114; 1153; 0

7.56; 28; 67273; 228; 1579; 0

7.95; 37; 67070; 374; 1736; 0

7.19; 36; 66892; 265; 1623; 0

6.72; 35; 66662; 241; 1594; 0

7.58; 34; 66525; 244; 1598; 0

8.23; 33; 66334; 249; 1606; 0

7.80; 33; 66148; 249; 1606; 0

7.18; 35; 65976; 280; 1638; 0

7.24; 37; 65818; 289; 1650; 0

7.08; 38; 65652; 285; 1644; 0

6.96; 39; 65500; 285; 1644; 0

7.19; 39; 65345; 300; 1661; 0

6.78; 39; 65182; 275; 1632; 0

6.29; 38; 65014; 254; 1610; 0

5.73; 37; 64828; 212; 1557; 0

4.52; 36; 64615; 187; 1523; 0

3.55; 36; 64423; 170; 1498; 0

3.14; 37; 64259; 161; 1458; 0

3.40; 37; 64090; 170; 1498; 0

3.00; 36; 63881; 143; 1341; 0

1.97; 36; 63659; 151; 1393; 0

1.70; 38; 63464; 146; 1360; 0

1.71; 37; 63271; 143; 1341; 0

0.89; 38; 63072; 143; 1341; 0

0.57; 39; 62894; 146; 1360; 0

1.03; 38; 62711; 146; 1360; 0

0.35; 39; 62527; 151; 1393; 0

-0.04; 40; 62309; 148; 1376; 0

-0.31; 39; 62014; 134; 1285; 2

0.12; 37; 61906; 125; 1224; 0

0.44; 36; 61712; 114; 1153; 0

1.28; 35; 61507; 125; 1224; 0

1.12; 34; 61320; 121; 1198; 0

0.75; 34; 61134; 129; 1252; 0

0.38; 34; 60942; 117; 1171; 0

0.94; 34; 60744; 125; 1224; 0

0.73; 33; 60573; 112; 1140; 3

0.37; 33; 60402; 119; 1184; 0

0.11; 33; 60213; 110; 1128; 0

-0.17; 33; 60033; 110; 1128; 0

-0.42; 33; 59856; 108; 1113; 0

0.26; 33; 59660; 117; 1171; 0

